region,hemisphere,NAVR,NAVR_corrected,correction,population_size
bankssts,lh,0.16774996896996877,0.01410211424126462,0.08406627034183972,566
bankssts,rh,0.1536287554440104,0.012914996487436558,0.08406627034183972,566
caudalanteriorcingulate,lh,0.21805991385278803,0.01833148366866676,0.08406627034183972,566
caudalanteriorcingulate,rh,0.23506814000147916,0.019761301806117775,0.08406627034183972,566
caudalmiddlefrontal,lh,0.17545378868832384,0.014749745632372652,0.08406627034183972,566
caudalmiddlefrontal,rh,0.17021078872158762,0.01430898617976675,0.08406627034183972,566
cuneus,lh,0.21561880682564774,0.01812626890538982,0.08406627034183972,566
cuneus,rh,0.21228774639039036,0.017846239078314466,0.08406627034183972,566
entorhinal,lh,0.34708513226034754,0.029178152560231572,0.08406627034183972,566
entorhinal,rh,0.3352514800022718,0.028183341550372852,0.08406627034183972,566
frontalpole,lh,0.34113702063963086,0.028678117000700967,0.08406627034183972,566
frontalpole,rh,0.3307414511871543,0.0278042002487517,0.08406627034183972,566
fusiform,lh,0.22088155727987233,0.018568688707816302,0.08406627034183972,566
fusiform,rh,0.20348392283235672,0.01710613446704295,0.08406627034183972,566
inferiorparietal,lh,0.1391924238955952,0.011701387936743057,0.08406627034183972,566
inferiorparietal,rh,0.14053775502864796,0.011814484907473563,0.08406627034183972,566
inferiortemporal,lh,0.1933617196161122,0.0162551985950111,0.08406627034183972,566
inferiortemporal,rh,0.18050680500427926,0.015174533868031487,0.08406627034183972,566
insula,lh,0.2979220600227138,0.02504519643866726,0.08406627034183972,566
insula,rh,0.3165856631519613,0.026614175944883384,0.08406627034183972,566
isthmuscingulate,lh,0.2217328411887773,0.018640252971039967,0.08406627034183972,566
isthmuscingulate,rh,0.2190895128698919,0.018418038217982304,0.08406627034183972,566
lateraloccipital,lh,0.15079101777543907,0.01267643846543122,0.08406627034183972,566
lateraloccipital,rh,0.1527599967767905,0.012841963186456236,0.08406627034183972,566
lateralorbitofrontal,lh,0.23662717072440365,0.01989236370434238,0.08406627034183972,566
lateralorbitofrontal,rh,0.29551015703231603,0.024842436749838187,0.08406627034183972,566
lingual,lh,0.2512365800286637,0.021120522256448896,0.08406627034183972,566
lingual,rh,0.26189419579565465,0.022016468264716208,0.08406627034183972,566
medialorbitofrontal,lh,0.2975518992888137,0.02501407840634128,0.08406627034183972,566
medialorbitofrontal,rh,0.23755043261455872,0.019969978887996474,0.08406627034183972,566
middletemporal,lh,0.16576112876493027,0.013934919862921133,0.08406627034183972,566
middletemporal,rh,0.14239133173279067,0.011970308187783362,0.08406627034183972,566
paracentral,lh,0.20922799071624334,0.017589016830631646,0.08406627034183972,566
paracentral,rh,0.19771585032199962,0.01662123412403594,0.08406627034183972,566
parahippocampal,lh,0.14229786007332054,0.011962450373989046,0.08406627034183972,566
parahippocampal,rh,0.14806025239013224,0.012446873204309877,0.08406627034183972,566
parsopercularis,lh,0.1716496166533328,0.014429943077652229,0.08406627034183972,566
parsopercularis,rh,0.1847184268977523,0.015528589212705803,0.08406627034183972,566
parsorbitalis,lh,0.2587111955052084,0.021748885301801395,0.08406627034183972,566
parsorbitalis,rh,0.2586197940884171,0.021741201525587797,0.08406627034183972,566
parstriangularis,lh,0.19493995306795647,0.016387874795036377,0.08406627034183972,566
parstriangularis,rh,0.2358975534310017,0.019831027499709167,0.08406627034183972,566
pericalcarine,lh,0.2585784996498571,0.021737730056152194,0.08406627034183972,566
pericalcarine,rh,0.2830759246000826,0.02379713720469678,0.08406627034183972,566
postcentral,lh,0.19937773329048908,0.016760942426941473,0.08406627034183972,566
postcentral,rh,0.19217786004954274,0.0161556759366411,0.08406627034183972,566
posteriorcingulate,lh,0.2106677030334901,0.017710048075507787,0.08406627034183972,566
posteriorcingulate,rh,0.2301949813449113,0.019351633533076062,0.08406627034183972,566
precentral,lh,0.19353172828773482,0.016269490589960186,0.08406627034183972,566
precentral,rh,0.20350263626837153,0.017107707635814,0.08406627034183972,566
precuneus,lh,0.126809392921902,0.01066039270725719,0.08406627034183972,566
precuneus,rh,0.13712608238501314,0.0115276783126959,0.08406627034183972,566
rostralanteriorcingulate,lh,0.2847491307873482,0.02393779740837309,0.08406627034183972,566
rostralanteriorcingulate,rh,0.26105194489563344,0.021945663372859366,0.08406627034183972,566
rostralmiddlefrontal,lh,0.19047735389650466,0.01601272072666184,0.08406627034183972,566
rostralmiddlefrontal,rh,0.19263131192334776,0.016193795944451406,0.08406627034183972,566
superiorfrontal,lh,0.13287076212208151,0.011169949409081182,0.08406627034183972,566
superiorfrontal,rh,0.14304661069277042,0.012025395045982339,0.08406627034183972,566
superiorparietal,lh,0.11004780851451326,0.009251308821108082,0.08406627034183972,566
superiorparietal,rh,0.10818709162454207,0.009094885292006137,0.08406627034183972,566
superiortemporal,lh,0.12659501728307626,0.01064237094684896,0.08406627034183972,566
superiortemporal,rh,0.11337657298520853,0.009531145635005863,0.08406627034183972,566
supramarginal,lh,0.14049319539245286,0.011810738945050853,0.08406627034183972,566
supramarginal,rh,0.13536900659717116,0.011379967504504075,0.08406627034183972,566
temporalpole,lh,0.36592365038652974,0.03076183651786685,0.08406627034183972,566
temporalpole,rh,0.31974402559881854,0.0268796876961784,0.08406627034183972,566
transversetemporal,lh,0.19634356647844978,0.016505871339458338,0.08406627034183972,566
transversetemporal,rh,0.19371685171092998,0.016285053225701115,0.08406627034183972,566
