CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
TLEMTS-L_vs_CTL,L_transversetemporal,-0.141,0.067,-0.272,-0.009,1341,412,0.036,0.0651,lh,0.1963435664784497,0.0165058713394583,0.0840662703418397,566,-0.141
TLEMTS-L_vs_CTL,L_insula,0.153,0.079,-0.002,0.309,1320,402,0.053,0.0858,lh,0.2979220600227138,0.0250451964386672,0.0840662703418397,566,0.153
TLEMTS-L_vs_CTL,R_bankssts,-0.113,0.098,-0.306,0.08,1315,406,0.251,0.314,rh,0.1536287554440104,0.0129149964874365,0.0840662703418397,566,-0.113
TLEMTS-L_vs_CTL,R_caudalanteriorcingulate,-0.06,0.107,-0.268,0.149,1346,411,0.576,0.616,rh,0.2350681400014791,0.0197613018061177,0.0840662703418397,566,-0.06
TLEMTS-L_vs_CTL,R_caudalmiddlefrontal,-0.441,0.087,-0.611,-0.271,1348,412,3.61e-07,2.76e-06,rh,0.1702107887215876,0.0143089861797667,0.0840662703418397,566,-0.441
TLEMTS-L_vs_CTL,R_cuneus,-0.198,0.075,-0.345,-0.052,1345,412,0.008,0.0182,rh,0.2122877463903903,0.0178462390783144,0.0840662703418397,566,-0.198
TLEMTS-L_vs_CTL,R_entorhinal,-0.094,0.093,-0.276,0.088,1069,296,0.31,0.372,rh,0.3352514800022718,0.0281833415503728,0.0840662703418397,566,-0.094
TLEMTS-L_vs_CTL,R_fusiform,-0.197,0.06,-0.315,-0.08,1344,412,0.001,0.00311,rh,0.2034839228323567,0.0171061344670429,0.0840662703418397,566,-0.197
TLEMTS-L_vs_CTL,R_inferiorparietal,-0.28,0.116,-0.507,-0.052,1337,411,0.016,0.0338,rh,0.1405377550286479,0.0118144849074735,0.0840662703418397,566,-0.28
TLEMTS-L_vs_CTL,R_inferiortemporal,-0.047,0.074,-0.192,0.098,1346,412,0.522,0.57,rh,0.1805068050042792,0.0151745338680314,0.0840662703418397,566,-0.047
TLEMTS-L_vs_CTL,R_isthmuscingulate,-0.007,0.082,-0.167,0.153,1345,411,0.931,0.931,rh,0.2190895128698919,0.0184180382179823,0.0840662703418397,566,
TLEMTS-L_vs_CTL,R_lateraloccipital,-0.254,0.121,-0.491,-0.016,1347,412,0.036,0.0651,rh,0.1527599967767905,0.0128419631864562,0.0840662703418397,566,-0.254
TLEMTS-L_vs_CTL,R_lateralorbitofrontal,-0.116,0.099,-0.31,0.078,1347,412,0.24,0.306,rh,0.295510157032316,0.0248424367498381,0.0840662703418397,566,-0.116
TLEMTS-L_vs_CTL,R_lingual,-0.156,0.098,-0.348,0.037,1348,412,0.114,0.162,rh,0.2618941957956546,0.0220164682647162,0.0840662703418397,566,-0.156
