CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
OCDadults_casevsCN,R_caudalmiddlefrontal,-0.079,0.006,,,1423,1485,0.033,0.111,rh,0.1702107887215876,0.0143089861797667,0.0840662703418397,566,-0.079
OCDadults_casevsCN,R_cuneus,-0.033,0.005,,,1401,1464,0.374,0.503,rh,0.2122877463903903,0.0178462390783144,0.0840662703418397,566,-0.033
OCDadults_casevsCN,R_entorhinal,0.0139999999999999,0.016,,,1244,1334,0.7190000000000001,0.823,rh,0.3352514800022718,0.0281833415503728,0.0840662703418397,566,
OCDadults_casevsCN,R_fusiform,-0.089,0.005,,,1428,1460,0.018,0.077,rh,0.2034839228323567,0.0171061344670429,0.0840662703418397,566,-0.089
OCDadults_casevsCN,R_inferiorparietal,-0.14,0.005,,,1379,1452,0.000216,0.008,rh,0.1405377550286479,0.0118144849074735,0.0840662703418397,566,-0.14
OCDadults_casevsCN,R_inferiortemporal,-0.059,0.006,,,1400,1488,0.115,0.2289999999999999,rh,0.1805068050042792,0.0151745338680314,0.0840662703418397,566,-0.059
OCDadults_casevsCN,R_isthmuscingulate,-0.052,0.0069999999999999,,,1429,1496,0.163,0.285,rh,0.2190895128698919,0.0184180382179823,0.0840662703418397,566,-0.052
OCDadults_casevsCN,R_lateraloccipital,-0.072,0.005,,,1421,1479,0.052,0.153,rh,0.1527599967767905,0.0128419631864562,0.0840662703418397,566,-0.072
OCDadults_casevsCN,R_lateralorbitofrontal,-0.108,0.006,,,1431,1497,0.004,0.0579999999999999,rh,0.295510157032316,0.0248424367498381,0.0840662703418397,566,-0.108
OCDadults_casevsCN,R_lingual,-0.044,0.005,,,1433,1492,0.24,0.373,rh,0.2618941957956546,0.0220164682647162,0.0840662703418397,566,-0.044
OCDadults_casevsCN,R_medialorbitofrontal,-0.102,0.0069999999999999,,,1428,1487,0.006,0.067,rh,0.2375504326145587,0.0199699788879964,0.0840662703418397,566,-0.102
OCDadults_casevsCN,R_middletemporal,-0.098,0.006,,,1402,1467,0.009,0.067,rh,0.1423913317327906,0.0119703081877833,0.0840662703418397,566,-0.098
OCDadults_casevsCN,R_parahippocampal,-0.08,0.01,,,1420,1487,0.032,0.111,rh,0.1480602523901322,0.0124468732043098,0.0840662703418397,566,-0.08
OCDadults_casevsCN,R_paracentral,0.009,0.006,,,1432,1493,0.8109999999999999,0.8859999999999999,rh,0.1977158503219996,0.0166212341240359,0.0840662703418397,566,
OCDadults_casevsCN,R_parsopercularis,-0.062,0.006,,,1418,1478,0.099,0.215,rh,0.1847184268977523,0.0155285892127058,0.0840662703418397,566,-0.062
OCDadults_casevsCN,R_parsorbitalis,-0.069,0.008,,,1431,1495,0.064,0.17,rh,0.2586197940884171,0.0217412015255877,0.0840662703418397,566,-0.069
