CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,hemisphere,NAVR,NAVR_corrected,correction,population_size,d_icv_thresholded
22qvsCN,R_caudalmiddlefrontal,0.63,0.08,0.48,0.78,,,9.38e-16,8.209999999999999e-15,rh,0.1702107887215876,0.0143089861797667,0.0840662703418397,566,0.63
22qvsCN,R_cuneus,0.58,0.08,0.43,0.73,,,1.3200000000000004e-13,6.159999999999999e-13,rh,0.2122877463903903,0.0178462390783144,0.0840662703418397,566,0.58
22qvsCN,R_entorhinal,-0.01,0.08,-0.15,0.14,,,0.942,0.942,rh,0.3352514800022718,0.0281833415503728,0.0840662703418397,566,
22qvsCN,R_fusiform,0.29,0.08,0.14,0.44,,,0.000152,0.000231,rh,0.2034839228323567,0.0171061344670429,0.0840662703418397,566,0.29
22qvsCN,R_inferiorparietal,0.22,0.08,0.07,0.37,,,0.00469,0.00644,rh,0.1405377550286479,0.0118144849074735,0.0840662703418397,566,0.22
22qvsCN,R_inferiortemporal,0.34,0.08,0.19,0.49,,,1.0800000000000002e-05,1.85e-05,rh,0.1805068050042792,0.0151745338680314,0.0840662703418397,566,0.34
22qvsCN,R_isthmuscingulate,-0.09,0.08,-0.24,0.06,,,0.252,0.281,rh,0.2190895128698919,0.0184180382179823,0.0840662703418397,566,-0.09
22qvsCN,R_lateraloccipital,0.18,0.08,0.03,0.33,,,0.0172,0.0215,rh,0.1527599967767905,0.0128419631864562,0.0840662703418397,566,0.18
22qvsCN,R_lateralorbitofrontal,0.42,0.08,0.27,0.57,,,6.54e-08,1.3900000000000001e-07,rh,0.295510157032316,0.0248424367498381,0.0840662703418397,566,0.42
22qvsCN,R_lingual,0.55,0.08,0.4,0.7,,,2.7000000000000002e-12,9.47e-12,rh,0.2618941957956546,0.0220164682647162,0.0840662703418397,566,0.55
22qvsCN,R_medialorbitofrontal,0.61,0.08,0.45,0.76,,,1.06e-14,6.16e-14,rh,0.2375504326145587,0.0199699788879964,0.0840662703418397,566,0.61
22qvsCN,R_middletemporal,0.42,0.08,0.27,0.57,,,4.74e-08,1.04e-07,rh,0.1423913317327906,0.0119703081877833,0.0840662703418397,566,0.42
22qvsCN,R_parahippocampal,-0.3,0.08,-0.45,-0.15,,,0.00013,0.000202,rh,0.1480602523901322,0.0124468732043098,0.0840662703418397,566,-0.3
22qvsCN,R_paracentral,0.56,0.08,0.41,0.71,,,6.65e-13,2.7400000000000004e-12,rh,0.1977158503219996,0.0166212341240359,0.0840662703418397,566,0.56
22qvsCN,R_parsopercularis,0.34,0.08,0.19,0.49,,,9.77e-06,1.7100000000000002e-05,rh,0.1847184268977523,0.0155285892127058,0.0840662703418397,566,0.34
22qvsCN,R_parsorbitalis,0.36,0.08,0.21,0.51,,,2.5e-06,4.48e-06,rh,0.2586197940884171,0.0217412015255877,0.0840662703418397,566,0.36
22qvsCN,R_parstriangularis,0.44,0.08,0.29,0.59,,,1.19e-08,2.86e-08,rh,0.2358975534310017,0.0198310274997091,0.0840662703418397,566,0.44
22qvsCN,R_pericalcarine,0.68,0.08,0.52,0.83,,,1.02e-17,1.1899999999999999e-16,rh,0.2830759246000826,0.0237971372046967,0.0840662703418397,566,0.68
22qvsCN,R_postcentral,0.43,0.08,0.28,0.58,,,3.17e-08,7.15e-08,rh,0.1921778600495427,0.0161556759366411,0.0840662703418397,566,0.43
22qvsCN,R_posteriorcingulate,-0.13,0.08,-0.28,0.02,,,0.0836,0.0975,rh,0.2301949813449113,0.019351633533076,0.0840662703418397,566,-0.13
22qvsCN,R_precentral,0.42,0.08,0.27,0.57,,,7.18e-08,1.44e-07,rh,0.2035026362683715,0.017107707635814,0.0840662703418397,566,0.42
22qvsCN,R_precuneus,0.49,0.08,0.34,0.64,,,2.42e-10,6.26e-10,rh,0.1371260823850131,0.0115276783126959,0.0840662703418397,566,0.49
22qvsCN,R_rostralanteriorcingulate,0.16,0.08,0.01,0.31,,,0.0409,0.0495,rh,0.2610519448956334,0.0219456633728593,0.0840662703418397,566,0.16
22qvsCN,R_rostralmiddlefrontal,0.8,0.08,0.64,0.95,,,1.1300000000000001e-23,3.97e-22,rh,0.1926313119233477,0.0161937959444514,0.0840662703418397,566,0.8
22qvsCN,R_superiorfrontal,0.53,0.08,0.38,0.68,,,1.25e-11,4.16e-11,rh,0.1430466106927704,0.0120253950459823,0.0840662703418397,566,0.53
22qvsCN,R_superiorparietal,0.3,0.08,0.15,0.45,,,0.000105,0.000171,rh,0.108187091624542,0.0090948852920061,0.0840662703418397,566,0.3
22qvsCN,R_superiortemporal,-0.32,0.08,-0.47,-0.17,,,3.88e-05,6.47e-05,rh,0.1133765729852085,0.0095311456350058,0.0840662703418397,566,-0.32
22qvsCN,R_supramarginal,0.71,0.08,0.55,0.86,,,3.79e-19,6.62e-18,rh,0.1353690065971711,0.011379967504504,0.0840662703418397,566,0.71
22qvsCN,R_frontalpole,0.14,0.08,-0.01,0.29,,,0.0612,0.0727,rh,0.3307414511871543,0.0278042002487517,0.0840662703418397,566,0.14
22qvsCN,R_temporalpole,0.01,0.08,-0.14,0.16,,,0.901,0.928,rh,0.3197440255988185,0.0268796876961784,0.0840662703418397,566,
22qvsCN,R_transversetemporal,0.06,0.08,-0.09,0.21,,,0.436,0.47,rh,0.1937168517109299,0.0162850532257011,0.0840662703418397,566,0.06
22qvsCN,R_insula,0.63,0.08,0.48,0.78,,,1.13e-15,8.75e-15,rh,0.3165856631519613,0.0266141759448833,0.0840662703418397,566,0.63
