Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.017,-0.177,-31.0,12.91,-56.36,-5.64,-3.14,228,453,681,area,HY3-vs-PD,L_bankssts,lh,0.1786116799446558,0.013688828894078155,0.0840662703418397,566,-0.177
R_bankssts,0.048,-0.144,-22.3,11.25,-44.39,-0.2,-2.45,238,482,720,area,HY3-vs-PD,R_bankssts,rh,0.1825977843962243,0.013610035281693597,0.0840662703418397,566,-0.144
L_caudalanteriorcingulate,0.17,-0.103,-14.59,10.61,-35.43,6.25,-2.34,256,497,753,area,HY3-vs-PD,L_caudalanteriorcingulate,lh,0.1683153490493292,0.012267504603344607,0.0840662703418397,566,-0.103
R_caudalanteriorcingulate,0.417,-0.059,-10.04,12.37,-34.32,14.25,-1.34,256,499,755,area,HY3-vs-PD,R_caudalanteriorcingulate,rh,0.1383714680931598,0.010071706664601682,0.0840662703418397,566,-0.059
L_caudalmiddlefrontal,0.011,-0.184,-69.33,27.2,-122.73,-15.93,-3.13,257,499,756,area,HY3-vs-PD,L_caudalmiddlefrontal,lh,0.1391865515943926,0.01012433187938382,0.0840662703418397,566,-0.184
R_caudalmiddlefrontal,0.058,-0.142,-53.97,28.43,-109.78,1.84,-2.61,255,495,750,area,HY3-vs-PD,R_caudalmiddlefrontal,rh,0.1657564399893244,0.012105138831187247,0.0840662703418397,566,-0.142
L_cuneus,0.003,-0.234,-50.8,17.09,-84.35,-17.24,-3.53,223,471,694,area,HY3-vs-PD,L_cuneus,lh,0.1320470351444211,0.010024873816947395,0.0840662703418397,566,-0.234
R_cuneus,0.001,-0.271,-62.06,17.61,-96.64,-27.49,-4.16,228,448,676,area,HY3-vs-PD,R_cuneus,rh,0.1359122118474259,0.010454785526725071,0.0840662703418397,566,-0.271
L_entorhinal,0.232,-0.09,-8.36,6.98,-22.06,5.35,-2.01,256,497,753,area,HY3-vs-PD,L_entorhinal,lh,0.3530218209694457,0.02572966065355422,0.0840662703418397,566,-0.09
R_entorhinal,0.442,-0.059,-4.95,6.43,-17.58,7.67,-1.38,243,486,729,area,HY3-vs-PD,R_entorhinal,rh,0.3394861382835046,0.02514712135433367,0.0840662703418397,566,-0.059
L_frontalpole,0.001,-0.291,-12.22,2.72,-17.56,-6.88,-5.82,258,500,758,area,HY3-vs-PD,L_frontalpole,lh,0.3878276705376012,0.02817307066105752,0.0840662703418397,566,-0.291
R_frontalpole,0.233,-0.079,-4.27,3.57,-11.28,2.75,-1.55,257,500,757,area,HY3-vs-PD,R_frontalpole,rh,0.4164824308930746,0.030274622848192323,0.0840662703418397,566,-0.079
L_fusiform,0.001,-0.26,-105.68,29.16,-162.94,-48.43,-3.4,252,499,751,area,HY3-vs-PD,L_fusiform,lh,0.1480590464773536,0.010805502677618572,0.0840662703418397,566,-0.26
R_fusiform,0.004,-0.207,-86.45,29.73,-144.82,-28.08,-2.85,252,499,751,area,HY3-vs-PD,R_fusiform,rh,0.1441676106290709,0.010521501655871946,0.0840662703418397,566,-0.207
L_inferiorparietal,0.005,-0.208,-132.53,47.16,-225.13,-39.93,-2.99,247,482,729,area,HY3-vs-PD,L_inferiorparietal,lh,0.0921604482852544,0.006826699872981807,0.0840662703418397,566,-0.208
R_inferiorparietal,0.007,-0.197,-149.07,55.23,-257.51,-40.63,-2.83,250,492,742,area,HY3-vs-PD,R_inferiorparietal,rh,0.0931743589228291,0.006841076648245566,0.0840662703418397,566,-0.197
L_inferiortemporal,0.001,-0.26,-127.58,36.53,-199.3,-55.86,-3.96,232,478,710,area,HY3-vs-PD,L_inferiortemporal,lh,0.1600867279656501,0.01201589568575622,0.0840662703418397,566,-0.26
R_inferiortemporal,0.001,-0.27,-122.26,33.71,-188.44,-56.07,-4.0,240,480,720,area,HY3-vs-PD,R_inferiortemporal,rh,0.1463527859563971,0.010908492603166018,0.0840662703418397,566,-0.27
L_insula,0.385,-0.06,-16.77,19.28,-54.62,21.08,-0.76,253,495,748,area,HY3-vs-PD,L_insula,lh,0.299847994886643,0.02192705700904149,0.0840662703418397,566,-0.06
R_insula,0.024,-0.16,-49.43,21.87,-92.37,-6.49,-2.16,254,490,744,area,HY3-vs-PD,R_insula,rh,0.374478321744222,0.02745808276091414,0.0840662703418397,566,-0.16
L_isthmuscingulate,0.682,-0.029,-5.33,13.02,-30.89,20.23,-0.53,258,499,757,area,HY3-vs-PD,L_isthmuscingulate,lh,0.1325562515823995,0.0096356778225239,0.0840662703418397,566,-0.029
R_isthmuscingulate,0.531,0.042,7.08,11.29,-15.08,29.24,0.76,255,500,755,area,HY3-vs-PD,R_isthmuscingulate,rh,0.1798584080766769,0.013091435339046343,0.0840662703418397,566,0.042
L_lateraloccipital,0.001,-0.324,-211.56,46.95,-303.75,-119.38,-4.49,246,489,735,area,HY3-vs-PD,L_lateraloccipital,lh,0.0874525302944431,0.006451470350744338,0.0840662703418397,566,-0.324
R_lateraloccipital,0.001,-0.286,-192.27,49.49,-289.44,-95.09,-4.18,250,490,740,area,HY3-vs-PD,R_lateraloccipital,rh,0.0883526703971253,0.006495817517700123,0.0840662703418397,566,-0.286
L_lateralorbitofrontal,0.028,-0.16,-47.78,21.71,-90.4,-5.16,-1.89,258,500,758,area,HY3-vs-PD,L_lateralorbitofrontal,lh,0.1678207846915011,0.012191050780244373,0.0840662703418397,566,-0.16
R_lateralorbitofrontal,0.1,-0.118,-39.07,23.74,-85.67,7.53,-1.58,256,500,756,area,HY3-vs-PD,R_lateralorbitofrontal,rh,0.338660973367915,0.024633961037871337,0.0840662703418397,566,-0.118
L_lingual,0.001,-0.253,-116.79,33.75,-183.06,-50.52,-3.98,241,488,729,area,HY3-vs-PD,L_lingual,lh,0.1180788657866528,0.00874658265086317,0.0840662703418397,566,-0.253
R_lingual,0.001,-0.294,-133.57,33.37,-199.09,-68.05,-4.48,243,473,716,area,HY3-vs-PD,R_lingual,rh,0.120006334526438,0.008969694577758803,0.0840662703418397,566,-0.294
L_medialorbitofrontal,0.002,-0.222,-52.67,17.06,-86.17,-19.17,-2.89,254,493,747,area,HY3-vs-PD,L_medialorbitofrontal,lh,0.2772285734046759,0.020286526138507864,0.0840662703418397,566,-0.222
R_medialorbitofrontal,0.012,-0.182,-39.49,15.67,-70.26,-8.73,-2.19,254,491,745,area,HY3-vs-PD,R_medialorbitofrontal,rh,0.2373507957582443,0.01739172066344457,0.0840662703418397,566,-0.182
L_middletemporal,0.001,-0.3,-132.48,32.79,-196.86,-68.09,-4.43,229,464,693,area,HY3-vs-PD,L_middletemporal,lh,0.1432600859199927,0.010884001316733087,0.0840662703418397,566,-0.3
R_middletemporal,0.001,-0.353,-154.36,31.01,-215.25,-93.47,-4.72,249,478,727,area,HY3-vs-PD,R_middletemporal,rh,0.1118631366940052,0.008297548187286377,0.0840662703418397,566,-0.353
L_paracentral,0.567,0.042,8.65,15.11,-21.01,38.31,0.65,253,497,750,area,HY3-vs-PD,L_paracentral,lh,0.1580756850541815,0.011544215799634326,0.0840662703418397,566,0.042
R_paracentral,0.968,-0.003,-0.68,17.09,-34.22,32.87,-0.04,252,499,751,area,HY3-vs-PD,R_paracentral,rh,0.1558819207241439,0.011376424148690556,0.0840662703418397,566,
L_parahippocampal,0.01,-0.19,-22.07,8.57,-38.88,-5.25,-3.28,257,499,756,area,HY3-vs-PD,L_parahippocampal,lh,0.253750614238687,0.018457641228417816,0.0840662703418397,566,-0.19
R_parahippocampal,0.076,-0.13,-12.76,7.17,-26.84,1.32,-1.96,255,500,755,area,HY3-vs-PD,R_parahippocampal,rh,0.2797618263430707,0.020363150653165116,0.0840662703418397,566,-0.13
L_parsopercularis,0.021,-0.172,-44.8,19.3,-82.7,-6.9,-2.83,257,500,757,area,HY3-vs-PD,L_parsopercularis,lh,0.141107643524262,0.010257289075876924,0.0840662703418397,566,-0.172
R_parsopercularis,0.156,-0.104,-23.15,16.3,-55.17,8.86,-1.74,257,499,756,area,HY3-vs-PD,R_parsopercularis,rh,0.172803742272672,0.012569622687875552,0.0840662703418397,566,-0.104
L_parsorbitalis,0.017,-0.171,-15.16,6.33,-27.6,-2.73,-2.45,258,499,757,area,HY3-vs-PD,L_parsorbitalis,lh,0.2067718729739145,0.015030503103039022,0.0840662703418397,566,-0.171
R_parsorbitalis,0.007,-0.195,-20.91,7.77,-36.16,-5.66,-2.8,256,499,755,area,HY3-vs-PD,R_parsorbitalis,rh,0.1869218196284564,0.013605563072033795,0.0840662703418397,566,-0.195
L_parstriangularis,0.358,-0.068,-13.85,15.05,-43.4,15.71,-1.12,258,500,758,area,HY3-vs-PD,L_parstriangularis,lh,0.1342439775300349,0.009751921670602941,0.0840662703418397,566,-0.068
R_parstriangularis,0.261,-0.083,-20.29,18.05,-55.73,15.15,-1.43,257,499,756,area,HY3-vs-PD,R_parstriangularis,rh,0.1977247608861874,0.01438236005599996,0.0840662703418397,566,-0.083
L_pericalcarine,0.037,-0.166,-47.25,22.61,-91.64,-2.86,-3.53,217,467,684,area,HY3-vs-PD,L_pericalcarine,lh,0.1515153742526108,0.011586670258945175,0.0840662703418397,566,-0.166
R_pericalcarine,0.054,-0.147,-41.53,21.53,-83.81,0.75,-2.85,220,440,660,area,HY3-vs-PD,R_pericalcarine,rh,0.1651985256525704,0.012860687779756632,0.0840662703418397,566,-0.147
L_postcentral,0.009,-0.197,-89.95,34.16,-157.02,-22.87,-2.18,246,482,728,area,HY3-vs-PD,L_postcentral,lh,0.1565426209458112,0.011603711080442034,0.0840662703418397,566,-0.197
R_postcentral,0.029,-0.165,-76.55,34.94,-145.15,-7.96,-1.92,243,483,726,area,HY3-vs-PD,R_postcentral,rh,0.2003338837533729,0.014870175557145591,0.0840662703418397,566,-0.165
L_posteriorcingulate,0.085,-0.125,-23.31,13.52,-49.85,3.22,-2.06,256,498,754,area,HY3-vs-PD,L_posteriorcingulate,lh,0.1439203019218107,0.010482536520862732,0.0840662703418397,566,-0.125
R_posteriorcingulate,0.226,-0.085,-17.05,14.06,-44.65,10.56,-1.47,257,499,756,area,HY3-vs-PD,R_posteriorcingulate,rh,0.162336046691134,0.01180820987273027,0.0840662703418397,566,-0.085
L_precentral,0.096,-0.123,-68.34,40.98,-148.8,12.12,-1.41,245,480,725,area,HY3-vs-PD,L_precentral,lh,0.1234912044252991,0.009172696387058945,0.0840662703418397,566,-0.123
R_precentral,0.037,-0.155,-80.48,38.49,-156.06,-4.91,-1.66,246,480,726,area,HY3-vs-PD,R_precentral,rh,0.1560208692246287,0.011580955115934656,0.0840662703418397,566,-0.155
L_precuneus,0.001,-0.284,-135.45,33.52,-201.27,-69.64,-3.67,256,499,755,area,HY3-vs-PD,L_precuneus,lh,0.115806001618221,0.008429223844859727,0.0840662703418397,566,-0.284
R_precuneus,0.001,-0.228,-108.97,33.77,-175.27,-42.67,-2.84,256,499,755,area,HY3-vs-PD,R_precuneus,rh,0.114700935562511,0.008348788901793096,0.0840662703418397,566,-0.228
L_rostralanteriorcingulate,0.571,0.042,7.17,12.65,-17.67,32.0,0.87,255,482,737,area,HY3-vs-PD,L_rostralanteriorcingulate,lh,0.1985332985113387,0.014626136086232212,0.0840662703418397,566,0.042
R_rostralanteriorcingulate,0.163,-0.096,-15.02,10.76,-36.14,6.11,-2.24,253,489,742,area,HY3-vs-PD,R_rostralanteriorcingulate,rh,0.1753326949058068,0.012873331447201326,0.0840662703418397,566,-0.096
L_rostralmiddlefrontal,0.001,-0.256,-192.9,54.08,-299.08,-86.72,-3.51,255,500,755,area,HY3-vs-PD,L_rostralmiddlefrontal,lh,0.1574330702065638,0.011459152123475489,0.0840662703418397,566,-0.256
R_rostralmiddlefrontal,0.001,-0.248,-194.43,55.56,-303.51,-85.36,-3.45,257,498,755,area,HY3-vs-PD,R_rostralmiddlefrontal,rh,0.1875342156885125,0.013650137821181433,0.0840662703418397,566,-0.248
L_superiorfrontal,0.026,-0.159,-133.08,59.62,-250.14,-16.01,-1.91,251,488,739,area,HY3-vs-PD,L_superiorfrontal,lh,0.1296969686255579,0.009541960227504044,0.0840662703418397,566,-0.159
R_superiorfrontal,0.008,-0.193,-158.2,59.1,-274.22,-42.17,-2.35,250,494,744,area,HY3-vs-PD,R_superiorfrontal,rh,0.1548408529084814,0.01135348218323726,0.0840662703418397,566,-0.193
L_superiorparietal,0.001,-0.306,-199.57,49.33,-296.43,-102.71,-3.77,242,495,737,area,HY3-vs-PD,L_superiorparietal,lh,0.1358861602066383,0.010010862088730843,0.0840662703418397,566,-0.306
R_superiorparietal,0.001,-0.257,-165.69,48.27,-260.46,-70.92,-3.11,245,495,740,area,HY3-vs-PD,R_superiorparietal,rh,0.1742287298901008,0.012809550980403456,0.0840662703418397,566,-0.257
L_superiortemporal,0.049,-0.154,-68.84,34.84,-137.26,-0.42,-1.86,210,451,661,area,HY3-vs-PD,L_superiortemporal,lh,0.1176477597997551,0.009151935018858868,0.0840662703418397,566,-0.154
R_superiortemporal,0.022,-0.17,-64.08,27.96,-118.99,-9.18,-1.84,237,478,715,area,HY3-vs-PD,R_superiortemporal,rh,0.117555156610781,0.0087926271866578,0.0840662703418397,566,-0.17
L_supramarginal,0.013,-0.188,-110.99,44.78,-198.92,-23.06,-2.92,243,476,719,area,HY3-vs-PD,L_supramarginal,lh,0.1082569006559294,0.008074602274381391,0.0840662703418397,566,-0.188
R_supramarginal,0.098,-0.124,-65.19,39.35,-142.45,12.07,-1.82,247,491,738,area,HY3-vs-PD,R_supramarginal,rh,0.1777082723446137,0.013083063807426758,0.0840662703418397,566,-0.124
L_temporalpole,0.025,-0.162,-11.49,5.11,-21.53,-1.45,-2.42,237,494,731,area,HY3-vs-PD,L_temporalpole,lh,0.3829949443932145,0.0283311594549951,0.0840662703418397,566,-0.162
R_temporalpole,0.141,-0.106,-7.78,5.28,-18.14,2.58,-1.82,240,487,727,area,HY3-vs-PD,R_temporalpole,rh,0.3636998202085135,0.026977759368062296,0.0840662703418397,566,-0.106
L_transversetemporal,0.953,-0.004,-0.35,5.98,-12.09,11.39,-0.08,257,501,758,area,HY3-vs-PD,L_transversetemporal,lh,0.1809503801815842,0.013144827546560354,0.0840662703418397,566,
R_transversetemporal,0.248,-0.085,-4.77,4.13,-12.88,3.33,-1.43,257,501,758,area,HY3-vs-PD,R_transversetemporal,rh,0.2243868641979294,0.016300195836203173,0.0840662703418397,566,-0.085
