Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.007,-0.172,-0.047,0.017,-0.081,-0.013,-2.077,227,459,686,thickness,HY3-vs-PD,L_bankssts,lh,0.1679100593637136,0.012821671712895713,0.0827605888602368,584,-0.172
R_bankssts,0.001,-0.249,-0.065,0.016,-0.097,-0.034,-2.737,239,481,720,thickness,HY3-vs-PD,R_bankssts,rh,0.1534593994993605,0.011438188302228909,0.0827605888602368,584,-0.249
L_caudalanteriorcingulate,0.204,0.087,0.032,0.025,-0.017,0.08,1.226,255,497,752,thickness,HY3-vs-PD,L_caudalanteriorcingulate,lh,0.2181119375336781,0.015907447956969634,0.0827605888602368,584,0.087
R_caudalanteriorcingulate,0.752,-0.021,-0.007,0.023,-0.052,0.038,-0.293,256,500,756,thickness,HY3-vs-PD,R_caudalanteriorcingulate,rh,0.2345456463717201,0.017060685371757967,0.0827605888602368,584,-0.021
L_caudalmiddlefrontal,0.001,-0.258,-0.055,0.014,-0.082,-0.028,-2.308,258,499,757,thickness,HY3-vs-PD,L_caudalmiddlefrontal,lh,0.1753441914871878,0.012745986078002642,0.0827605888602368,584,-0.258
R_caudalmiddlefrontal,0.015,-0.16,-0.035,0.014,-0.063,-0.007,-1.469,256,495,751,thickness,HY3-vs-PD,R_caudalmiddlefrontal,rh,0.1700381669057965,0.012409561668215727,0.0827605888602368,584,-0.16
L_cuneus,0.039,-0.129,-0.026,0.013,-0.052,-0.001,-1.521,223,475,698,thickness,HY3-vs-PD,L_cuneus,lh,0.2145175843375185,0.016239220624022253,0.0827605888602368,584,-0.129
R_cuneus,0.014,-0.13,-0.032,0.013,-0.057,-0.006,-1.786,228,458,686,thickness,HY3-vs-PD,R_cuneus,rh,0.2110250670946185,0.016113949001817264,0.0827605888602368,584,-0.13
L_entorhinal,0.001,-0.276,-0.118,0.029,-0.174,-0.062,-3.672,257,499,756,thickness,HY3-vs-PD,L_entorhinal,lh,0.347724072261647,0.025293204477734785,0.0827605888602368,584,-0.276
R_entorhinal,0.001,-0.28,-0.159,0.032,-0.222,-0.097,-4.743,243,487,730,thickness,HY3-vs-PD,R_entorhinal,rh,0.3352087278490374,0.024813263270194834,0.0827605888602368,584,-0.28
L_frontalpole,0.964,0.003,0.001,0.023,-0.044,0.046,0.039,258,500,758,thickness,HY3-vs-PD,L_frontalpole,lh,0.3407844666065796,0.02475569843840505,0.0827605888602368,584,
R_frontalpole,0.373,-0.062,-0.021,0.024,-0.069,0.026,-0.824,255,500,755,thickness,HY3-vs-PD,R_frontalpole,rh,0.3308039802832321,0.024078379009842225,0.0827605888602368,584,-0.062
L_fusiform,0.001,-0.372,-0.089,0.014,-0.117,-0.061,-3.476,252,499,751,thickness,HY3-vs-PD,L_fusiform,lh,0.2199788565103603,0.0160542849599247,0.0827605888602368,584,-0.372
R_fusiform,0.001,-0.204,-0.068,0.018,-0.103,-0.034,-2.632,253,499,752,thickness,HY3-vs-PD,R_fusiform,rh,0.2034578796835348,0.014838690945109229,0.0827605888602368,584,-0.204
L_inferiorparietal,0.001,-0.359,-0.077,0.013,-0.103,-0.051,-3.427,248,483,731,thickness,HY3-vs-PD,L_inferiorparietal,lh,0.1388691826870925,0.01027252452203013,0.0827605888602368,584,-0.359
R_inferiorparietal,0.001,-0.321,-0.076,0.014,-0.102,-0.049,-3.295,250,492,742,thickness,HY3-vs-PD,R_inferiorparietal,rh,0.1402146441904612,0.010294883047254346,0.0827605888602368,584,-0.321
L_inferiortemporal,0.001,-0.336,-0.077,0.014,-0.106,-0.049,-2.928,232,481,713,thickness,HY3-vs-PD,L_inferiortemporal,lh,0.1931727905328623,0.01446875571769218,0.0827605888602368,584,-0.336
R_inferiortemporal,0.001,-0.273,-0.068,0.014,-0.097,-0.04,-2.566,240,480,720,thickness,HY3-vs-PD,R_inferiortemporal,rh,0.1804525516817452,0.01345013907578921,0.0827605888602368,584,-0.273
L_insula,0.895,0.009,0.002,0.016,-0.03,0.034,0.074,253,499,752,thickness,HY3-vs-PD,L_insula,lh,0.2981904866965747,0.021747776403374455,0.0827605888602368,584,
R_insula,0.244,-0.072,-0.021,0.018,-0.057,0.014,-0.744,254,494,748,thickness,HY3-vs-PD,R_insula,rh,0.3167477759911346,0.023162891398591436,0.0827605888602368,584,-0.072
L_isthmuscingulate,0.001,-0.283,-0.073,0.017,-0.107,-0.039,-3.154,257,501,758,thickness,HY3-vs-PD,L_isthmuscingulate,lh,0.2212486498239776,0.01607222567826077,0.0827605888602368,584,-0.283
R_isthmuscingulate,0.001,-0.237,-0.064,0.017,-0.097,-0.031,-2.786,256,501,757,thickness,HY3-vs-PD,R_isthmuscingulate,rh,0.2184653938129115,0.015880519590910993,0.0827605888602368,584,-0.237
L_lateraloccipital,0.001,-0.22,-0.046,0.013,-0.071,-0.02,-2.21,246,489,735,thickness,HY3-vs-PD,L_lateraloccipital,lh,0.1493056868036902,0.011014446447328621,0.0827605888602368,584,-0.22
R_lateraloccipital,0.001,-0.239,-0.055,0.014,-0.083,-0.026,-2.579,250,491,741,thickness,HY3-vs-PD,R_lateraloccipital,rh,0.1526839267879651,0.011217968403923747,0.0827605888602368,584,-0.239
L_lateralorbitofrontal,0.011,-0.166,-0.035,0.014,-0.062,-0.008,-1.397,258,500,758,thickness,HY3-vs-PD,L_lateralorbitofrontal,lh,0.2368625051545744,0.017206467205975035,0.0827605888602368,584,-0.166
R_lateralorbitofrontal,0.046,-0.114,-0.028,0.014,-0.056,-0.001,-1.152,257,499,756,thickness,HY3-vs-PD,R_lateralorbitofrontal,rh,0.2955741158849632,0.02149985332559513,0.0827605888602368,584,-0.114
L_lingual,0.001,-0.217,-0.044,0.012,-0.068,-0.02,-2.32,242,490,732,thickness,HY3-vs-PD,L_lingual,lh,0.2498141822812938,0.018466795732845532,0.0827605888602368,584,-0.217
