Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
R_middletemporal,0.001,-0.269,-111.87,26.7,-164.26,-59.48,-3.38,251,1018,1269,area,HY2-vs-HY3,R_middletemporal,rh,0.1118631366940052,0.006280383697558872,0.0840662703418397,566,-0.269
L_paracentral,0.904,-0.008,-1.58,13.14,-27.37,24.21,-0.12,255,1046,1301,area,HY2-vs-HY3,L_paracentral,lh,0.1580756850541815,0.008765090811082012,0.0840662703418397,566,
R_paracentral,0.836,-0.014,-3.36,16.16,-35.06,28.35,-0.22,254,1041,1295,area,HY2-vs-HY3,R_paracentral,rh,0.1558819207241439,0.008663449732192949,0.0840662703418397,566,-0.014
L_parahippocampal,0.017,-0.154,-18.33,7.7,-33.43,-3.22,-2.66,259,1054,1313,area,HY2-vs-HY3,L_parahippocampal,lh,0.253750614238687,0.014005697266009871,0.0840662703418397,566,-0.154
R_parahippocampal,0.002,-0.205,-23.63,7.54,-38.42,-8.84,-3.54,257,1043,1300,area,HY2-vs-HY3,R_parahippocampal,rh,0.2797618263430707,0.015518393996882977,0.0840662703418397,566,-0.205
L_parsopercularis,0.19,-0.086,-21.91,16.71,-54.69,10.87,-1.38,259,1053,1312,area,HY2-vs-HY3,L_parsopercularis,lh,0.141107643524262,0.007791366207604844,0.0840662703418397,566,-0.086
R_parsopercularis,0.291,-0.071,-15.52,14.7,-44.36,13.32,-1.16,259,1053,1312,area,HY2-vs-HY3,R_parsopercularis,rh,0.172803742272672,0.00954149048530782,0.0840662703418397,566,-0.071
L_parsorbitalis,0.884,-0.009,-0.83,5.72,-12.06,10.39,-0.14,260,1049,1309,area,HY2-vs-HY3,L_parsorbitalis,lh,0.2067718729739145,0.01143014221772034,0.0840662703418397,566,
R_parsorbitalis,0.015,-0.16,-17.36,7.09,-31.28,-3.44,-2.29,258,1050,1308,area,HY2-vs-HY3,R_parsorbitalis,rh,0.1869218196284564,0.010336800245069184,0.0840662703418397,566,-0.16
L_parstriangularis,0.819,0.015,3.04,13.32,-23.09,29.18,0.25,260,1053,1313,area,HY2-vs-HY3,L_parstriangularis,lh,0.1342439775300349,0.007409560424953827,0.0840662703418397,566,0.015
R_parstriangularis,0.595,-0.035,-9.03,17.01,-42.4,24.34,-0.64,259,1046,1305,area,HY2-vs-HY3,R_parstriangularis,rh,0.1977247608861874,0.010946765097839619,0.0840662703418397,566,-0.035
L_pericalcarine,0.684,0.029,7.94,19.54,-30.4,46.28,0.6,219,975,1194,area,HY2-vs-HY3,L_pericalcarine,lh,0.1515153742526108,0.008769695924951424,0.0840662703418397,566,0.029
R_pericalcarine,0.694,0.028,7.46,18.92,-29.66,44.58,0.51,222,934,1156,area,HY2-vs-HY3,R_pericalcarine,rh,0.1651985256525704,0.00971756033250414,0.0840662703418397,566,0.028
L_postcentral,0.002,-0.206,-97.73,31.57,-159.68,-35.79,-2.36,248,1002,1250,area,HY2-vs-HY3,L_postcentral,lh,0.1565426209458112,0.00885538790523987,0.0840662703418397,566,-0.206
R_postcentral,0.127,-0.104,-49.14,32.2,-112.32,14.04,-1.23,244,994,1238,area,HY2-vs-HY3,R_postcentral,rh,0.2003338837533729,0.011387387090490026,0.0840662703418397,566,-0.104
L_posteriorcingulate,0.134,-0.099,-24.7,16.48,-57.03,7.63,-2.14,257,1056,1313,area,HY2-vs-HY3,L_posteriorcingulate,lh,0.1439203019218107,0.007943642561012976,0.0840662703418397,566,-0.099
R_posteriorcingulate,0.204,-0.081,-15.75,12.4,-40.08,8.57,-1.34,259,1053,1312,area,HY2-vs-HY3,R_posteriorcingulate,rh,0.162336046691134,0.008963508686529734,0.0840662703418397,566,-0.081
L_precentral,0.046,-0.13,-69.2,34.7,-137.28,-1.12,-1.42,246,1009,1255,area,HY2-vs-HY3,L_precentral,lh,0.1234912044252991,0.00697178778546886,0.0840662703418397,566,-0.13
R_precentral,0.009,-0.169,-93.78,35.72,-163.86,-23.7,-1.92,247,1009,1256,area,HY2-vs-HY3,R_precentral,rh,0.1560208692246287,0.008804767027015973,0.0840662703418397,566,-0.169
L_precuneus,0.008,-0.174,-78.66,29.64,-136.81,-20.51,-2.12,258,1053,1311,area,HY2-vs-HY3,L_precuneus,lh,0.115806001618221,0.006396754996084902,0.0840662703418397,566,-0.174
R_precuneus,0.025,-0.146,-71.2,31.78,-133.54,-8.86,-1.83,258,1050,1308,area,HY2-vs-HY3,R_precuneus,rh,0.114700935562511,0.006342976230324104,0.0840662703418397,566,-0.146
L_rostralanteriorcingulate,0.865,0.011,2.0,11.73,-21.01,25.0,0.24,257,1036,1293,area,HY2-vs-HY3,L_rostralanteriorcingulate,lh,0.1985332985113387,0.011042415673508678,0.0840662703418397,566,
R_rostralanteriorcingulate,0.17,-0.089,-13.29,9.67,-32.27,5.68,-1.98,255,1040,1295,area,HY2-vs-HY3,R_rostralanteriorcingulate,rh,0.1753326949058068,0.009744465436851079,0.0840662703418397,566,-0.089
L_rostralmiddlefrontal,0.059,-0.119,-92.27,48.82,-188.05,3.51,-1.7,257,1042,1299,area,HY2-vs-HY3,L_rostralmiddlefrontal,lh,0.1574330702065638,0.00873617620777987,0.0840662703418397,566,-0.119
R_rostralmiddlefrontal,0.098,-0.105,-80.73,48.73,-176.32,14.86,-1.43,259,1050,1309,area,HY2-vs-HY3,R_rostralmiddlefrontal,rh,0.1875342156885125,0.01036670377444789,0.0840662703418397,566,-0.105
L_superiorfrontal,0.343,-0.06,-47.63,50.21,-146.14,50.89,-0.68,252,1026,1278,area,HY2-vs-HY3,L_superiorfrontal,lh,0.1296969686255579,0.0072559518865439165,0.0840662703418397,566,-0.06
R_superiorfrontal,0.116,-0.101,-80.88,51.35,-181.63,19.87,-1.2,251,1027,1278,area,HY2-vs-HY3,R_superiorfrontal,rh,0.1548408529084814,0.008662637150903818,0.0840662703418397,566,-0.101
L_superiorparietal,0.048,-0.132,-84.23,42.53,-167.66,-0.8,-1.6,244,1019,1263,area,HY2-vs-HY3,L_superiorparietal,lh,0.1358861602066383,0.007647219343778366,0.0840662703418397,566,-0.132
R_superiorparietal,0.081,-0.115,-74.41,42.55,-157.9,9.08,-1.41,247,1021,1268,area,HY2-vs-HY3,R_superiorparietal,rh,0.1742287298901008,0.009785660390166043,0.0840662703418397,566,-0.115
L_superiortemporal,0.3,-0.071,-32.22,31.08,-93.2,28.76,-0.87,212,902,1114,area,HY2-vs-HY3,L_superiortemporal,lh,0.1176477597997551,0.007049706918262369,0.0840662703418397,566,-0.071
R_superiortemporal,0.001,-0.218,-84.51,25.65,-134.83,-34.18,-2.38,239,958,1197,area,HY2-vs-HY3,R_superiortemporal,rh,0.117555156610781,0.006795549884411831,0.0840662703418397,566,-0.218
L_supramarginal,0.006,-0.181,-106.24,38.5,-181.77,-30.71,-2.77,245,1001,1246,area,HY2-vs-HY3,L_supramarginal,lh,0.1082569006559294,0.0061337569600557985,0.0840662703418397,566,-0.181
R_supramarginal,0.01,-0.172,-89.55,34.63,-157.5,-21.6,-2.47,249,1016,1265,area,HY2-vs-HY3,R_supramarginal,rh,0.1777082723446137,0.009992919241713444,0.0840662703418397,566,-0.172
L_temporalpole,0.284,-0.074,-5.04,4.7,-14.26,4.18,-1.08,239,1005,1244,area,HY2-vs-HY3,L_temporalpole,lh,0.3829949443932145,0.021717650846679263,0.0840662703418397,566,-0.074
R_temporalpole,0.488,0.047,3.35,4.83,-6.12,12.82,0.79,242,1000,1242,area,HY2-vs-HY3,R_temporalpole,rh,0.3636998202085135,0.020640123145885324,0.0840662703418397,566,0.047
L_transversetemporal,0.774,-0.019,-1.55,5.4,-12.15,9.04,-0.34,259,1058,1317,area,HY2-vs-HY3,L_transversetemporal,lh,0.1809503801815842,0.009972329231669677,0.0840662703418397,566,-0.019
R_transversetemporal,0.383,-0.057,-3.44,3.94,-11.16,4.29,-1.01,259,1056,1315,area,HY2-vs-HY3,R_transversetemporal,rh,0.2243868641979294,0.0123755511241358,0.0840662703418397,566,-0.057
