Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.086,0.1,16.49,9.58,-2.31,35.29,1.666,917,386,1303,area,HY1-vs-HY2,L_bankssts,lh,0.1786116799446558,0.009896181300714657,0.0840662703418397,566,0.1
R_bankssts,0.096,0.09,13.67,8.21,-2.43,29.77,1.499,1004,420,1424,area,HY1-vs-HY2,R_bankssts,rh,0.1825977843962243,0.009677663217692808,0.0840662703418397,566,0.09
L_caudalanteriorcingulate,0.202,0.07,10.29,8.06,-5.52,26.1,1.624,1045,435,1480,area,HY1-vs-HY2,L_caudalanteriorcingulate,lh,0.1683153490493292,0.00875029833091383,0.0840662703418397,566,0.07
R_caudalanteriorcingulate,0.786,-0.015,-2.51,9.25,-20.65,15.64,-0.328,1043,433,1476,area,HY1-vs-HY2,R_caudalanteriorcingulate,rh,0.1383714680931598,0.007203330903385997,0.0840662703418397,566,-0.015
L_caudalmiddlefrontal,0.265,-0.06,-22.01,19.75,-60.75,16.73,-0.974,1050,432,1482,area,HY1-vs-HY2,L_caudalmiddlefrontal,lh,0.1391865515943926,0.007231080044452609,0.0840662703418397,566,-0.06
R_caudalmiddlefrontal,0.649,-0.025,-8.96,19.64,-47.49,29.58,-0.431,1050,433,1483,area,HY1-vs-HY2,R_caudalmiddlefrontal,rh,0.1657564399893244,0.008608546522170173,0.0840662703418397,566,-0.025
L_cuneus,0.346,-0.054,-11.66,12.36,-35.91,12.58,-0.813,980,407,1387,area,HY1-vs-HY2,L_cuneus,lh,0.1320470351444211,0.007091211187656938,0.0840662703418397,566,-0.054
R_cuneus,0.686,0.023,5.02,12.43,-19.37,29.42,0.34,950,403,1353,area,HY1-vs-HY2,R_cuneus,rh,0.1359122118474259,0.007389917289388608,0.0840662703418397,566,0.023
L_entorhinal,0.791,0.015,1.4,5.3,-8.99,11.8,0.343,1028,428,1456,area,HY1-vs-HY2,L_entorhinal,lh,0.3530218209694457,0.018503371097711482,0.0840662703418397,566,
R_entorhinal,0.278,0.06,5.27,4.86,-4.26,14.81,1.503,998,422,1420,area,HY1-vs-HY2,R_entorhinal,rh,0.3394861382835046,0.018018053394620613,0.0840662703418397,566,0.06
L_frontalpole,0.565,0.029,1.14,1.99,-2.76,5.04,0.563,1052,431,1483,area,HY1-vs-HY2,L_frontalpole,lh,0.3878276705376012,0.020141796871499244,0.0840662703418397,566,0.029
R_frontalpole,0.046,0.104,5.13,2.57,0.09,10.16,1.892,1053,432,1485,area,HY1-vs-HY2,R_frontalpole,rh,0.4164824308930746,0.021615408847472203,0.0840662703418397,566,0.104
L_fusiform,0.955,-0.003,-1.22,21.88,-44.15,41.7,-0.039,1038,428,1466,area,HY1-vs-HY2,L_fusiform,lh,0.1480590464773536,0.007733889428071062,0.0840662703418397,566,
R_fusiform,0.38,-0.047,-19.2,21.85,-62.07,23.67,-0.624,1045,433,1478,area,HY1-vs-HY2,R_fusiform,rh,0.1441676106290709,0.0074999864599779266,0.0840662703418397,566,-0.047
