Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_inferiorparietal,0.948,-0.003,-2.1,32.48,-65.81,61.61,-0.047,1015,429,1444,area,HY1-vs-HY2,L_inferiorparietal,lh,0.0921604482852544,0.004850549909750231,0.0840662703418397,566,
R_inferiorparietal,0.445,-0.042,-27.98,36.66,-99.91,43.94,-0.526,1020,424,1444,area,HY1-vs-HY2,R_inferiorparietal,rh,0.0931743589228291,0.004903913627517321,0.0840662703418397,566,-0.042
L_inferiortemporal,0.201,-0.07,-33.26,26.0,-84.27,17.75,-1.03,1022,412,1434,area,HY1-vs-HY2,L_inferiortemporal,lh,0.1600867279656501,0.008454944246162293,0.0840662703418397,566,-0.07
R_inferiortemporal,0.883,-0.008,-3.42,23.25,-49.03,42.18,-0.112,1025,426,1451,area,HY1-vs-HY2,R_inferiortemporal,rh,0.1463527859563971,0.007684175646156823,0.0840662703418397,566,-0.008
L_insula,0.573,0.028,7.18,12.74,-17.82,32.17,0.327,1052,433,1485,area,HY1-vs-HY2,L_insula,lh,0.299847994886643,0.015562089828546755,0.0840662703418397,566,0.028
R_insula,0.597,0.027,7.9,14.95,-21.42,37.22,0.352,1043,432,1475,area,HY1-vs-HY2,R_insula,rh,0.374478321744222,0.019501169957522737,0.0840662703418397,566,0.027
L_isthmuscingulate,0.381,-0.047,-8.56,9.78,-27.74,10.61,-0.831,1052,436,1488,area,HY1-vs-HY2,L_isthmuscingulate,lh,0.1325562515823995,0.006872721486274089,0.0840662703418397,566,-0.047
R_isthmuscingulate,0.721,-0.019,-3.2,8.94,-20.74,14.35,-0.337,1047,435,1482,area,HY1-vs-HY2,R_isthmuscingulate,rh,0.1798584080766769,0.0093440819574315,0.0840662703418397,566,-0.019
L_lateraloccipital,0.197,-0.068,-42.45,32.87,-106.93,22.04,-0.897,1037,424,1461,area,HY1-vs-HY2,L_lateraloccipital,lh,0.0874525302944431,0.004575907821241853,0.0840662703418397,566,-0.068
R_lateraloccipital,0.353,-0.05,-31.14,33.54,-96.95,34.66,-0.677,1036,429,1465,area,HY1-vs-HY2,R_lateraloccipital,rh,0.0883526703971253,0.004616691593899512,0.0840662703418397,566,-0.05
L_lateralorbitofrontal,0.323,-0.055,-15.09,15.27,-45.04,14.87,-0.589,1054,429,1483,area,HY1-vs-HY2,L_lateralorbitofrontal,lh,0.1678207846915011,0.008715758087570758,0.0840662703418397,566,-0.055
R_lateralorbitofrontal,0.039,-0.111,-34.3,16.63,-66.92,-1.68,-1.358,1050,431,1481,area,HY1-vs-HY2,R_lateralorbitofrontal,rh,0.338660973367915,0.01760020063743778,0.0840662703418397,566,-0.111
L_lingual,0.001,-0.224,-100.88,24.42,-148.78,-52.98,-3.329,1019,429,1448,area,HY1-vs-HY2,L_lingual,lh,0.1180788657866528,0.0062060874022058935,0.0840662703418397,566,-0.224
R_lingual,0.008,-0.145,-64.58,24.34,-112.34,-16.82,-2.129,995,421,1416,area,HY1-vs-HY2,R_lingual,rh,0.120006334526438,0.006378264717714458,0.0840662703418397,566,-0.145
L_medialorbitofrontal,0.937,0.004,1.01,12.79,-24.07,26.1,0.055,1042,428,1470,area,HY1-vs-HY2,L_medialorbitofrontal,lh,0.2772285734046759,0.014461366022735024,0.0840662703418397,566,
R_medialorbitofrontal,0.79,-0.014,-2.93,11.03,-24.56,18.7,-0.163,1038,428,1466,area,HY1-vs-HY2,R_medialorbitofrontal,rh,0.2373507957582443,0.012398059110421942,0.0840662703418397,566,-0.014
L_middletemporal,0.987,-0.001,-0.35,21.4,-42.34,41.63,-0.012,960,389,1349,area,HY1-vs-HY2,L_middletemporal,lh,0.1432600859199927,0.0078009811433260344,0.0840662703418397,566,
R_middletemporal,0.623,0.026,10.6,21.58,-31.72,52.92,0.323,1018,420,1438,area,HY1-vs-HY2,R_middletemporal,rh,0.1118631366940052,0.00589980347873402,0.0840662703418397,566,0.026
L_paracentral,0.808,0.013,2.51,10.31,-17.72,22.74,0.185,1046,435,1481,area,HY1-vs-HY2,L_paracentral,lh,0.1580756850541815,0.008215188615286733,0.0840662703418397,566,0.013
R_paracentral,0.748,0.017,4.05,12.61,-20.69,28.78,0.265,1041,433,1474,area,HY1-vs-HY2,R_paracentral,rh,0.1558819207241439,0.008120392142285993,0.0840662703418397,566,0.017
L_parahippocampal,0.873,0.009,1.0,6.24,-11.25,13.25,0.146,1054,434,1488,area,HY1-vs-HY2,L_parahippocampal,lh,0.253750614238687,0.013156356473684643,0.0840662703418397,566,
R_parahippocampal,0.437,0.042,4.59,5.91,-7.0,16.18,0.691,1043,433,1476,area,HY1-vs-HY2,R_parahippocampal,rh,0.2797618263430707,0.014563818950941426,0.0840662703418397,566,0.042
L_parsopercularis,0.961,-0.003,-0.69,14.03,-28.2,26.83,-0.043,1053,438,1491,area,HY1-vs-HY2,L_parsopercularis,lh,0.141107643524262,0.007308726546508888,0.0840662703418397,566,
R_parsopercularis,0.046,-0.111,-24.83,12.41,-49.18,-0.48,-1.819,1053,436,1489,area,HY1-vs-HY2,R_parsopercularis,rh,0.172803742272672,0.008956447616727786,0.0840662703418397,566,-0.111
L_parsorbitalis,0.468,-0.039,-3.29,4.53,-12.18,5.6,-0.533,1049,428,1477,area,HY1-vs-HY2,L_parsorbitalis,lh,0.2067718729739145,0.010760469223489114,0.0840662703418397,566,-0.039
R_parsorbitalis,0.971,-0.002,-0.21,5.74,-11.46,11.05,-0.027,1050,430,1480,area,HY1-vs-HY2,R_parsorbitalis,rh,0.1869218196284564,0.009717602675837341,0.0840662703418397,566,
L_parstriangularis,0.399,-0.047,-9.03,10.7,-30.02,11.96,-0.725,1053,428,1481,area,HY1-vs-HY2,L_parstriangularis,lh,0.1342439775300349,0.00697665548941031,0.0840662703418397,566,-0.047
R_parstriangularis,0.33,-0.053,-13.53,13.88,-40.76,13.7,-0.942,1046,430,1476,area,HY1-vs-HY2,R_parstriangularis,rh,0.1977247608861874,0.010293139908707,0.0840662703418397,566,-0.053
L_pericalcarine,0.012,-0.141,-35.32,14.02,-62.82,-7.82,-2.588,975,414,1389,area,HY1-vs-HY2,L_pericalcarine,lh,0.1515153742526108,0.008130843007947917,0.0840662703418397,566,-0.141
R_pericalcarine,0.011,-0.145,-38.45,15.12,-68.11,-8.79,-2.59,934,398,1332,area,HY1-vs-HY2,R_pericalcarine,rh,0.1651985256525704,0.00905282344054022,0.0840662703418397,566,-0.145
L_postcentral,0.727,0.019,8.84,25.3,-40.78,58.46,0.214,1002,407,1409,area,HY1-vs-HY2,L_postcentral,lh,0.1565426209458112,0.008340788329507881,0.0840662703418397,566,0.019
R_postcentral,0.074,0.101,45.13,25.26,-4.42,94.68,1.147,994,412,1406,area,HY1-vs-HY2,R_postcentral,rh,0.2003338837533729,0.010685423657833912,0.0840662703418397,566,0.101
L_posteriorcingulate,0.741,0.018,4.32,13.08,-21.34,29.98,0.376,1056,437,1493,area,HY1-vs-HY2,L_posteriorcingulate,lh,0.1439203019218107,0.007449414727774044,0.0840662703418397,566,0.018
R_posteriorcingulate,0.655,0.023,4.54,10.14,-15.36,24.43,0.388,1053,438,1491,area,HY1-vs-HY2,R_posteriorcingulate,rh,0.162336046691134,0.008408260135835918,0.0840662703418397,566,0.023
L_precentral,0.539,0.033,16.69,27.14,-36.55,69.93,0.344,1009,415,1424,area,HY1-vs-HY2,L_precentral,lh,0.1234912044252991,0.006545020744512453,0.0840662703418397,566,0.033
R_precentral,0.54,0.032,17.48,28.5,-38.42,73.38,0.358,1009,424,1433,area,HY1-vs-HY2,R_precentral,rh,0.1560208692246287,0.008243081496453683,0.0840662703418397,566,0.032
L_precuneus,0.436,0.042,18.78,24.11,-28.51,66.06,0.51,1053,434,1487,area,HY1-vs-HY2,L_precuneus,lh,0.115806001618221,0.006006280060365914,0.0840662703418397,566,0.042
R_precuneus,0.21,0.067,32.78,26.14,-18.5,84.06,0.85,1050,434,1484,area,HY1-vs-HY2,R_precuneus,rh,0.114700935562511,0.005954975862024288,0.0840662703418397,566,0.067
L_rostralanteriorcingulate,0.169,0.075,12.44,9.03,-5.28,30.16,1.514,1036,428,1464,area,HY1-vs-HY2,L_rostralanteriorcingulate,lh,0.1985332985113387,0.010377501754833082,0.0840662703418397,566,0.075
R_rostralanteriorcingulate,0.72,-0.019,-2.84,7.91,-18.35,12.68,-0.422,1040,431,1471,area,HY1-vs-HY2,R_rostralanteriorcingulate,rh,0.1753326949058068,0.009142954686657065,0.0840662703418397,566,-0.019
L_rostralmiddlefrontal,0.07,-0.095,-68.83,37.97,-143.31,5.65,-1.257,1042,427,1469,area,HY1-vs-HY2,L_rostralmiddlefrontal,lh,0.1574330702065638,0.008215141774565712,0.0840662703418397,566,-0.095
R_rostralmiddlefrontal,0.241,-0.062,-45.96,39.22,-122.89,30.97,-0.811,1050,430,1480,area,HY1-vs-HY2,R_rostralmiddlefrontal,rh,0.1875342156885125,0.009749439631007703,0.0840662703418397,566,-0.062
L_superiorfrontal,0.072,-0.093,-70.79,39.29,-147.86,6.28,-1.007,1026,426,1452,area,HY1-vs-HY2,L_superiorfrontal,lh,0.1296969686255579,0.0068073254317313,0.0840662703418397,566,-0.093
R_superiorfrontal,0.451,-0.04,-29.9,39.66,-107.71,47.9,-0.439,1027,426,1453,area,HY1-vs-HY2,R_superiorfrontal,rh,0.1548408529084814,0.00812423997896785,0.0840662703418397,566,-0.04
L_superiorparietal,0.267,-0.06,-37.68,33.92,-104.22,28.86,-0.713,1019,419,1438,area,HY1-vs-HY2,L_superiorparietal,lh,0.1358861602066383,0.0071668081585441225,0.0840662703418397,566,-0.06
R_superiorparietal,0.305,-0.055,-34.65,33.78,-100.91,31.61,-0.652,1021,429,1450,area,HY1-vs-HY2,R_superiorparietal,rh,0.1742287298901008,0.009150941209419703,0.0840662703418397,566,-0.055
L_superiortemporal,0.544,0.033,14.38,23.67,-32.06,60.83,0.391,902,381,1283,area,HY1-vs-HY2,L_superiortemporal,lh,0.1176477597997551,0.00656901614733015,0.0840662703418397,566,0.033
R_superiortemporal,0.121,0.083,31.74,20.43,-8.34,71.81,0.903,958,407,1365,area,HY1-vs-HY2,R_superiortemporal,rh,0.117555156610781,0.006363636356671927,0.0840662703418397,566,0.083
L_supramarginal,0.67,-0.023,-12.85,30.18,-72.06,46.36,-0.337,1001,415,1416,area,HY1-vs-HY2,L_supramarginal,lh,0.1082569006559294,0.005753789353100482,0.0840662703418397,566,-0.023
R_supramarginal,0.3,0.056,28.85,27.85,-25.79,83.5,0.803,1016,423,1439,area,HY1-vs-HY2,R_supramarginal,rh,0.1777082723446137,0.009369302122604905,0.0840662703418397,566,0.056
L_temporalpole,0.581,-0.031,-2.05,3.72,-9.35,5.24,-0.437,1005,416,1421,area,HY1-vs-HY2,L_temporalpole,lh,0.3829949443932145,0.020320107348342612,0.0840662703418397,566,-0.031
R_temporalpole,0.92,-0.005,-0.39,3.89,-8.02,7.24,-0.092,1000,419,1419,area,HY1-vs-HY2,R_temporalpole,rh,0.3636998202085135,0.019309982682649992,0.0840662703418397,566,
L_transversetemporal,0.644,0.025,2.03,4.39,-6.58,10.64,0.446,1058,437,1495,area,HY1-vs-HY2,L_transversetemporal,lh,0.1809503801815842,0.009359850224319758,0.0840662703418397,566,0.025
R_transversetemporal,0.885,0.008,0.46,3.17,-5.76,6.68,0.135,1056,438,1494,area,HY1-vs-HY2,R_transversetemporal,rh,0.2243868641979294,0.011610532173921228,0.0840662703418397,566,
