Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
R_rostralmiddlefrontal,0.768,-0.016,-11.46,38.84,-87.67,64.75,-0.2,427,842,1269,area,HY1-vs-PD,R_rostralmiddlefrontal,rh,0.1875342156885125,0.010528820000518914,0.0840662703418397,566,-0.016
L_superiorfrontal,0.793,0.014,10.1,38.48,-65.39,85.58,0.15,423,826,1249,area,HY1-vs-PD,L_superiorfrontal,lh,0.1296969686255579,0.007339704950549275,0.0840662703418397,566,0.014
R_superiorfrontal,0.493,0.038,25.77,37.56,-47.92,99.46,0.38,423,838,1261,area,HY1-vs-PD,R_superiorfrontal,rh,0.1548408529084814,0.008720833747478103,0.0840662703418397,566,0.038
L_superiorparietal,0.987,-0.001,-0.56,34.19,-67.63,66.51,-0.01,416,826,1242,area,HY1-vs-PD,L_superiorparietal,lh,0.1358861602066383,0.0077115987543753635,0.0840662703418397,566,
R_superiorparietal,0.957,0.003,1.82,34.05,-64.99,68.62,0.03,426,836,1262,area,HY1-vs-PD,R_superiorparietal,rh,0.1742287298901008,0.0098088950735828,0.0840662703418397,566,
L_superiortemporal,0.393,-0.05,-19.17,22.44,-63.19,24.86,-0.52,378,762,1140,area,HY1-vs-PD,L_superiortemporal,lh,0.1176477597997551,0.006968851848825619,0.0840662703418397,566,-0.05
R_superiortemporal,0.81,0.014,4.65,19.3,-33.23,42.53,0.13,404,801,1205,area,HY1-vs-PD,R_superiortemporal,rh,0.117555156610781,0.006772954477268716,0.0840662703418397,566,0.014
L_supramarginal,0.259,0.065,34.26,30.34,-25.27,93.79,0.91,412,807,1219,area,HY1-vs-PD,L_supramarginal,lh,0.1082569006559294,0.0062013141425635646,0.0840662703418397,566,0.065
R_supramarginal,0.873,0.009,4.33,27.17,-48.97,57.63,0.12,420,828,1248,area,HY1-vs-PD,R_supramarginal,rh,0.1777082723446137,0.010060749777665964,0.0840662703418397,566,
L_temporalpole,0.278,-0.059,-3.76,3.47,-10.56,3.04,-0.79,413,829,1242,area,HY1-vs-PD,L_temporalpole,lh,0.3829949443932145,0.021735129844153843,0.0840662703418397,566,-0.059
R_temporalpole,0.446,-0.043,-2.78,3.65,-9.94,4.37,-0.66,416,819,1235,area,HY1-vs-PD,R_temporalpole,rh,0.3636998202085135,0.020698534769453696,0.0840662703418397,566,-0.043
L_transversetemporal,0.271,0.061,4.76,4.32,-3.72,13.25,1.05,434,844,1278,area,HY1-vs-PD,L_transversetemporal,lh,0.1809503801815842,0.010123345721672273,0.0840662703418397,566,0.061
R_transversetemporal,0.529,0.036,1.89,3.0,-4.0,7.79,0.57,435,846,1281,area,HY1-vs-PD,R_transversetemporal,rh,0.2243868641979294,0.012538710062750496,0.0840662703418397,566,0.036
