Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_precentral,0.001,-0.104,-0.023,0.006,-0.035,-0.01,-0.944,2205,1126,3331,thickness,all,L_precentral,lh,0.1934859788469978,0.006704898043437953,0.0827605888602368,584,-0.104
R_precentral,0.086,-0.052,-0.011,0.007,-0.025,0.002,-0.485,2220,1131,3351,thickness,all,R_precentral,rh,0.203213697138652,0.0070209480396469254,0.0827605888602368,584,-0.052
L_precuneus,0.001,-0.156,-0.031,0.005,-0.042,-0.02,-1.373,2301,1173,3474,thickness,all,L_precuneus,lh,0.1266028694300775,0.004295944258604051,0.0827605888602368,584,-0.156
R_precuneus,0.001,-0.193,-0.038,0.006,-0.049,-0.027,-1.679,2304,1174,3478,thickness,all,R_precuneus,rh,0.1368537324431657,0.004641109909144426,0.0827605888602368,584,-0.193
L_rostralanteriorcingulate,0.83,0.007,0.002,0.01,-0.017,0.021,0.075,2285,1164,3449,thickness,all,L_rostralanteriorcingulate,lh,0.283732439618703,0.00966256416164987,0.0827605888602368,584,
R_rostralanteriorcingulate,0.732,-0.01,-0.003,0.01,-0.022,0.015,-0.121,2282,1164,3446,thickness,all,R_rostralanteriorcingulate,rh,0.2607243987946873,0.008882884880040385,0.0827605888602368,584,-0.01
L_rostralmiddlefrontal,0.001,-0.088,-0.016,0.005,-0.026,-0.007,-0.728,2286,1170,3456,thickness,all,L_rostralmiddlefrontal,lh,0.1904458556017539,0.0064790995812786445,0.0827605888602368,584,-0.088
R_rostralmiddlefrontal,0.063,-0.047,-0.01,0.005,-0.021,0.001,-0.452,2299,1168,3467,thickness,all,R_rostralmiddlefrontal,rh,0.192271968463831,0.006530840050893638,0.0827605888602368,584,-0.047
L_superiorfrontal,0.001,-0.104,-0.02,0.006,-0.031,-0.009,-0.784,2257,1163,3420,thickness,all,L_superiorfrontal,lh,0.132671725682411,0.004537277282797789,0.0827605888602368,584,-0.104
R_superiorfrontal,0.001,-0.11,-0.022,0.006,-0.033,-0.011,-0.879,2258,1163,3421,thickness,all,R_superiorfrontal,rh,0.1426994383762407,0.004879504495247446,0.0827605888602368,584,-0.11
L_superiorparietal,0.001,-0.145,-0.028,0.005,-0.038,-0.017,-1.335,2233,1150,3383,thickness,all,L_superiorparietal,lh,0.1101292843519363,0.0037868823594065086,0.0827605888602368,584,-0.145
R_superiorparietal,0.001,-0.174,-0.036,0.005,-0.046,-0.025,-1.709,2254,1161,3415,thickness,all,R_superiorparietal,rh,0.1081804550791144,0.003702400924337877,0.0827605888602368,584,-0.174
L_superiortemporal,0.001,-0.096,-0.021,0.007,-0.034,-0.008,-0.819,2019,1070,3089,thickness,all,L_superiortemporal,lh,0.1260174974969587,0.004534734786747643,0.0827605888602368,584,-0.096
R_superiortemporal,0.002,-0.077,-0.019,0.006,-0.032,-0.007,-0.739,2147,1114,3261,thickness,all,R_superiortemporal,rh,0.1130545562343416,0.003959521138772035,0.0827605888602368,584,-0.077
L_supramarginal,0.001,-0.131,-0.026,0.006,-0.037,-0.014,-1.08,2182,1118,3300,thickness,all,L_supramarginal,lh,0.1406715982860254,0.0048975564178345725,0.0827605888602368,584,-0.131
R_supramarginal,0.001,-0.153,-0.031,0.006,-0.042,-0.019,-1.28,2209,1148,3357,thickness,all,R_supramarginal,rh,0.1349963545396925,0.004659897521186609,0.0827605888602368,584,-0.153
L_temporalpole,0.002,-0.102,-0.04,0.013,-0.066,-0.015,-1.132,2215,1150,3365,thickness,all,L_temporalpole,lh,0.3656352824157033,0.012606239628050664,0.0827605888602368,584,-0.102
R_temporalpole,0.001,-0.096,-0.043,0.013,-0.069,-0.017,-1.174,2219,1142,3361,thickness,all,R_temporalpole,rh,0.3205953854095554,0.011059945994903281,0.0827605888602368,584,-0.096
L_transversetemporal,0.023,-0.072,-0.019,0.009,-0.036,-0.003,-0.884,2319,1174,3493,thickness,all,L_transversetemporal,lh,0.1956680130206627,0.006621410873641443,0.0827605888602368,584,-0.072
R_transversetemporal,0.006,-0.068,-0.025,0.009,-0.043,-0.007,-1.11,2317,1175,3492,thickness,all,R_transversetemporal,rh,0.1930159768564547,0.006532601063690688,0.0827605888602368,584,-0.068
