Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_bankssts,0.26,0.052,8.76,7.77,-6.48,24.0,0.88,817,821,1638,area,HY2-vs-PD,L_bankssts,lh,0.1786116799446558,0.00882638571377783,0.0840662703418397,566,0.052
R_bankssts,0.07,0.08,12.04,6.64,-0.98,25.06,1.33,888,874,1762,area,HY2-vs-PD,R_bankssts,rh,0.1825977843962243,0.008700065999255187,0.0840662703418397,566,0.08
L_caudalanteriorcingulate,0.08,0.079,11.2,6.4,-1.36,23.76,1.8,928,900,1828,area,HY2-vs-PD,L_caudalanteriorcingulate,lh,0.1683153490493292,0.007873459937715072,0.0840662703418397,566,0.079
R_caudalanteriorcingulate,0.858,-0.008,-1.33,7.46,-15.97,13.31,-0.18,924,905,1829,area,HY2-vs-PD,R_caudalanteriorcingulate,rh,0.1383714680931598,0.006470974548466629,0.0840662703418397,566,-0.008
L_caudalmiddlefrontal,0.615,-0.022,-7.93,15.76,-38.84,22.98,-0.36,932,897,1829,area,HY2-vs-PD,L_caudalmiddlefrontal,lh,0.1391865515943926,0.0065090921218655135,0.0840662703418397,566,-0.022
R_caudalmiddlefrontal,0.457,-0.034,-12.2,16.4,-44.37,19.96,-0.59,930,897,1827,area,HY2-vs-PD,R_caudalmiddlefrontal,rh,0.1657564399893244,0.007755880922523678,0.0840662703418397,566,-0.034
L_cuneus,0.001,-0.156,-33.62,9.98,-53.19,-14.05,-2.32,871,861,1732,area,HY2-vs-PD,L_cuneus,lh,0.1320470351444211,0.006345775538375563,0.0840662703418397,566,-0.156
R_cuneus,0.002,-0.146,-31.86,10.25,-51.96,-11.77,-2.13,838,826,1664,area,HY2-vs-PD,R_cuneus,rh,0.1359122118474259,0.00666364442639982,0.0840662703418397,566,-0.146
L_entorhinal,0.644,0.021,1.96,4.25,-6.36,10.29,0.48,912,898,1810,area,HY2-vs-PD,L_entorhinal,lh,0.3530218209694457,0.016595573268549248,0.0840662703418397,566,0.021
R_entorhinal,0.665,-0.02,-1.69,3.91,-9.36,5.97,-0.48,881,881,1762,area,HY2-vs-PD,R_entorhinal,rh,0.3394861382835046,0.01617517878798444,0.0840662703418397,566,-0.02
L_frontalpole,0.003,-0.121,-4.92,1.65,-8.15,-1.69,-2.37,934,902,1836,area,HY2-vs-PD,L_frontalpole,lh,0.3878276705376012,0.01810224543629265,0.0840662703418397,566,-0.121
R_frontalpole,0.979,0.001,0.05,2.05,-3.97,4.07,0.02,933,905,1838,area,HY2-vs-PD,R_frontalpole,rh,0.4164824308930746,0.019429155662441855,0.0840662703418397,566,
L_fusiform,0.263,-0.049,-19.8,17.68,-54.48,14.88,-0.64,921,901,1822,area,HY2-vs-PD,L_fusiform,lh,0.1480590464773536,0.006937304500271774,0.0840662703418397,566,-0.049
R_fusiform,0.076,-0.077,-31.43,17.7,-66.14,3.28,-1.03,929,903,1832,area,HY2-vs-PD,R_fusiform,rh,0.1441676106290709,0.006736510044988763,0.0840662703418397,566,-0.077
L_inferiorparietal,0.624,-0.022,-13.16,26.83,-65.79,39.47,-0.29,899,874,1773,area,HY2-vs-PD,L_inferiorparietal,lh,0.0921604482852544,0.004377440043925121,0.0840662703418397,566,-0.022
R_inferiorparietal,0.561,-0.026,-17.65,30.37,-77.21,41.91,-0.34,902,890,1792,area,HY2-vs-PD,R_inferiorparietal,rh,0.0931743589228291,0.004402074683529961,0.0840662703418397,566,-0.026
L_inferiortemporal,0.303,-0.045,-21.24,20.63,-61.7,19.21,-0.67,907,864,1771,area,HY2-vs-PD,L_inferiortemporal,lh,0.1600867279656501,0.007608097037529368,0.0840662703418397,566,-0.045
R_inferiortemporal,0.492,-0.03,-13.52,19.69,-52.13,25.09,-0.44,910,875,1785,area,HY2-vs-PD,R_inferiortemporal,rh,0.1463527859563971,0.006928063816927952,0.0840662703418397,566,-0.03
L_insula,0.59,0.022,5.64,10.46,-14.87,26.14,0.26,934,896,1830,area,HY2-vs-PD,L_insula,lh,0.299847994886643,0.014018630853653898,0.0840662703418397,566,0.022
R_insula,0.737,-0.014,-4.13,12.32,-28.29,20.02,-0.18,926,892,1818,area,HY2-vs-PD,R_insula,rh,0.374478321744222,0.017565468515596993,0.0840662703418397,566,
L_isthmuscingulate,0.578,0.024,4.33,7.78,-10.93,19.59,0.43,934,903,1837,area,HY2-vs-PD,L_isthmuscingulate,lh,0.1325562515823995,0.0061855116919094745,0.0840662703418397,566,0.024
R_isthmuscingulate,0.428,0.034,5.43,6.85,-8.01,18.87,0.58,928,906,1834,area,HY2-vs-PD,R_isthmuscingulate,rh,0.1798584080766769,0.008399647777301053,0.0840662703418397,566,0.034
L_lateraloccipital,0.001,-0.148,-94.35,27.52,-148.32,-40.39,-1.99,921,883,1804,area,HY2-vs-PD,L_lateraloccipital,lh,0.0874525302944431,0.004117978820660306,0.0840662703418397,566,-0.148
R_lateraloccipital,0.003,-0.129,-81.27,27.78,-135.76,-26.78,-1.76,917,889,1806,area,HY2-vs-PD,R_lateraloccipital,rh,0.0883526703971253,0.004158060489579395,0.0840662703418397,566,-0.129
L_lateralorbitofrontal,0.071,-0.079,-22.71,12.57,-47.36,1.93,-0.9,935,900,1835,area,HY2-vs-PD,L_lateralorbitofrontal,lh,0.1678207846915011,0.007835337513457918,0.0840662703418397,566,-0.079
R_lateralorbitofrontal,0.895,-0.006,-1.8,13.63,-28.53,24.93,-0.07,930,902,1832,area,HY2-vs-PD,R_lateralorbitofrontal,rh,0.338660973367915,0.015824588054028525,0.0840662703418397,566,
L_lingual,0.001,-0.154,-69.27,19.93,-108.35,-30.18,-2.32,903,889,1792,area,HY2-vs-PD,L_lingual,lh,0.1180788657866528,0.005578702035072437,0.0840662703418397,566,-0.154
R_lingual,0.001,-0.175,-77.65,19.84,-116.57,-38.74,-2.57,883,858,1741,area,HY2-vs-PD,R_lingual,rh,0.120006334526438,0.005752210638451342,0.0840662703418397,566,-0.175
L_medialorbitofrontal,0.548,-0.026,-6.2,10.33,-26.47,14.06,-0.34,924,892,1816,area,HY2-vs-PD,L_medialorbitofrontal,lh,0.2772285734046759,0.013010981630067558,0.0840662703418397,566,-0.026
R_medialorbitofrontal,0.232,-0.052,-10.75,9.0,-28.41,6.9,-0.6,920,895,1815,area,HY2-vs-PD,R_medialorbitofrontal,rh,0.2373507957582443,0.011142493080978887,0.0840662703418397,566,-0.052
