Structure,p,Cohen_d,b,SE,lower_ci,upper_ci,perc_diff,n_patients,n_controls,population_size,metric,subgroup,region,hemisphere,NAVR,NAVR_corrected,correction,population_size_livingpark,Cohen_d_thresholded
L_middletemporal,0.064,-0.084,-33.4,18.04,-68.79,1.98,-1.12,854,837,1691,area,HY2-vs-PD,L_middletemporal,lh,0.1432600859199927,0.006967603026895192,0.0840662703418397,566,-0.084
R_middletemporal,0.704,-0.017,-6.9,18.18,-42.56,28.76,-0.21,901,874,1775,area,HY2-vs-PD,R_middletemporal,rh,0.1118631366940052,0.005310284754259087,0.0840662703418397,566,-0.017
L_paracentral,0.084,0.078,14.94,8.64,-2.0,31.89,1.12,928,901,1829,area,HY2-vs-PD,L_paracentral,lh,0.1580756850541815,0.007392446931533284,0.0840662703418397,566,0.078
R_paracentral,0.215,0.055,12.06,9.72,-6.99,31.12,0.8,923,903,1826,area,HY2-vs-PD,R_paracentral,rh,0.1558819207241439,0.007295840944684761,0.0840662703418397,566,0.055
L_parahippocampal,0.197,0.055,6.31,4.89,-3.27,15.9,0.93,936,903,1839,area,HY2-vs-PD,L_parahippocampal,lh,0.253750614238687,0.01183439970011672,0.0840662703418397,566,0.055
R_parahippocampal,0.202,0.056,5.96,4.67,-3.2,15.12,0.91,924,905,1829,area,HY2-vs-PD,R_parahippocampal,rh,0.2797618263430707,0.01308312821166087,0.0840662703418397,566,0.056
L_parsopercularis,0.806,-0.011,-2.79,11.32,-25.0,19.42,-0.18,935,903,1838,area,HY2-vs-PD,L_parsopercularis,lh,0.141107643524262,0.006582756360969055,0.0840662703418397,566,-0.011
R_parsopercularis,0.319,-0.045,-9.81,9.84,-29.11,9.49,-0.73,933,902,1835,area,HY2-vs-PD,R_parsopercularis,rh,0.172803742272672,0.008067985421376413,0.0840662703418397,566,-0.045
L_parsorbitalis,0.088,-0.074,-6.34,3.72,-13.64,0.95,-1.03,930,903,1833,area,HY2-vs-PD,L_parsorbitalis,lh,0.2067718729739145,0.009659179234670323,0.0840662703418397,566,-0.074
R_parsorbitalis,0.388,0.038,4.08,4.72,-5.18,13.34,0.54,930,904,1834,area,HY2-vs-PD,R_parsorbitalis,rh,0.1869218196284564,0.008729519312224088,0.0840662703418397,566,0.038
L_parstriangularis,0.591,-0.024,-4.82,8.97,-22.41,12.78,-0.39,935,904,1839,area,HY2-vs-PD,L_parstriangularis,lh,0.1342439775300349,0.00626085927787956,0.0840662703418397,566,-0.024
R_parstriangularis,0.316,-0.045,-10.88,10.84,-32.13,10.38,-0.76,927,904,1831,area,HY2-vs-PD,R_parstriangularis,rh,0.1977247608861874,0.009241593941819365,0.0840662703418397,566,-0.045
L_pericalcarine,0.001,-0.147,-36.57,11.49,-59.1,-14.03,-2.7,864,862,1726,area,HY2-vs-PD,L_pericalcarine,lh,0.1515153742526108,0.007294009134775564,0.0840662703418397,566,-0.147
R_pericalcarine,0.001,-0.168,-44.85,12.4,-69.18,-20.53,-3.03,827,807,1634,area,HY2-vs-PD,R_pericalcarine,rh,0.1651985256525704,0.00817353895145186,0.0840662703418397,566,-0.168
L_postcentral,0.294,0.047,21.6,20.6,-18.8,62.01,0.53,890,866,1756,area,HY2-vs-PD,L_postcentral,lh,0.1565426209458112,0.007471371659245604,0.0840662703418397,566,0.047
R_postcentral,0.39,0.039,17.46,20.32,-22.39,57.31,0.44,883,873,1756,area,HY2-vs-PD,R_postcentral,rh,0.2003338837533729,0.009561414600178921,0.0840662703418397,566,0.039
L_posteriorcingulate,0.634,0.021,4.34,9.1,-13.52,22.2,0.38,937,902,1839,area,HY2-vs-PD,L_posteriorcingulate,lh,0.1439203019218107,0.006712142877029978,0.0840662703418397,566,0.021
R_posteriorcingulate,0.681,0.018,3.39,8.23,-12.75,19.53,0.29,933,904,1837,area,HY2-vs-PD,R_posteriorcingulate,rh,0.162336046691134,0.00757513510558334,0.0840662703418397,566,0.018
L_precentral,0.702,0.017,8.42,22.03,-34.79,51.63,0.17,896,860,1756,area,HY2-vs-PD,L_precentral,lh,0.1234912044252991,0.00589391361492963,0.0840662703418397,566,0.017
R_precentral,0.151,0.063,32.66,22.72,-11.91,77.23,0.68,896,869,1765,area,HY2-vs-PD,R_precentral,rh,0.1560208692246287,0.007427460210281652,0.0840662703418397,566,0.063
L_precuneus,0.171,-0.059,-27.24,19.91,-66.3,11.81,-0.74,934,904,1838,area,HY2-vs-PD,L_precuneus,lh,0.115806001618221,0.005402419562478651,0.0840662703418397,566,-0.059
R_precuneus,0.772,0.012,6.04,20.87,-34.89,46.96,0.16,930,904,1834,area,HY2-vs-PD,R_precuneus,rh,0.114700935562511,0.005356699576931992,0.0840662703418397,566,0.012
L_rostralanteriorcingulate,0.685,0.018,2.99,7.38,-11.48,17.47,0.37,918,880,1798,area,HY2-vs-PD,L_rostralanteriorcingulate,lh,0.1985332985113387,0.009364153197800911,0.0840662703418397,566,0.018
R_rostralanteriorcingulate,0.525,-0.027,-4.09,6.44,-16.71,8.53,-0.61,921,894,1815,area,HY2-vs-PD,R_rostralanteriorcingulate,rh,0.1753326949058068,0.008231037665646736,0.0840662703418397,566,-0.027
L_rostralmiddlefrontal,0.033,-0.092,-66.31,31.11,-127.33,-5.29,-1.22,924,902,1826,area,HY2-vs-PD,L_rostralmiddlefrontal,lh,0.1574330702065638,0.007368440383109649,0.0840662703418397,566,-0.092
R_rostralmiddlefrontal,0.042,-0.088,-65.22,32.02,-128.02,-2.42,-1.16,931,901,1832,area,HY2-vs-PD,R_rostralmiddlefrontal,rh,0.1875342156885125,0.00876289842255323,0.0840662703418397,566,-0.088
L_superiorfrontal,0.013,-0.106,-83.0,33.52,-148.73,-17.26,-1.19,910,886,1796,area,HY2-vs-PD,L_superiorfrontal,lh,0.1296969686255579,0.006120778381628701,0.0840662703418397,566,-0.106
R_superiorfrontal,0.236,-0.052,-39.64,33.46,-105.27,25.98,-0.59,910,893,1803,area,HY2-vs-PD,R_superiorfrontal,rh,0.1548408529084814,0.0072931926761067726,0.0840662703418397,566,-0.052
L_superiorparietal,0.009,-0.117,-74.87,28.56,-130.89,-18.85,-1.41,904,888,1792,area,HY2-vs-PD,L_superiorparietal,lh,0.1358861602066383,0.006420017616468683,0.0840662703418397,566,-0.117
R_superiorparietal,0.105,-0.072,-45.76,28.24,-101.14,9.63,-0.86,906,897,1803,area,HY2-vs-PD,R_superiorparietal,rh,0.1742287298901008,0.008206385284850537,0.0840662703418397,566,-0.072
L_superiortemporal,0.427,-0.037,-15.76,19.85,-54.69,23.17,-0.43,800,816,1616,area,HY2-vs-PD,L_superiortemporal,lh,0.1176477597997551,0.005853194817282401,0.0840662703418397,566,-0.037
R_superiortemporal,0.268,0.049,18.41,16.62,-14.19,51.01,0.53,846,866,1712,area,HY2-vs-PD,R_superiortemporal,rh,0.117555156610781,0.005682242968555977,0.0840662703418397,566,0.049
L_supramarginal,0.72,0.016,8.97,25.03,-40.12,58.06,0.24,887,865,1752,area,HY2-vs-PD,L_supramarginal,lh,0.1082569006559294,0.005172714799887641,0.0840662703418397,566,0.016
R_supramarginal,0.285,0.047,24.45,22.88,-20.42,69.32,0.68,900,890,1790,area,HY2-vs-PD,R_supramarginal,rh,0.1777082723446137,0.008400615840647602,0.0840662703418397,566,0.047
L_temporalpole,0.162,-0.061,-4.18,2.99,-10.05,1.68,-0.88,891,886,1777,area,HY2-vs-PD,L_temporalpole,lh,0.3829949443932145,0.01817102069480938,0.0840662703418397,566,-0.061
R_temporalpole,0.232,-0.054,-3.74,3.13,-9.88,2.39,-0.88,888,879,1767,area,HY2-vs-PD,R_temporalpole,rh,0.3636998202085135,0.01730433074147042,0.0840662703418397,566,-0.054
L_transversetemporal,0.172,0.06,4.91,3.59,-2.13,11.95,1.1,940,905,1845,area,HY2-vs-PD,L_transversetemporal,lh,0.1809503801815842,0.00842541516998943,0.0840662703418397,566,0.06
R_transversetemporal,0.578,0.024,1.45,2.6,-3.66,6.55,0.43,936,907,1843,area,HY2-vs-PD,R_transversetemporal,rh,0.2243868641979294,0.01045357302478145,0.0840662703418397,566,0.024
